area,cohort,date,d18O_oto,d18O_oto_cor,d18O_wat,Temp.norm,Temp.corr
GB,2012,2013-01-01,22.7027929608973,23.5284521413353,-5.91221532091097,26.8402303432567,22.9775912193745
GB,2012,2013-02-01,22.0491565972609,22.8748157776989,-6.36314699792961,27.742949272478,23.8547271385115
GB,2012,2013-03-01,23.1818838699882,24.0075430504262,-6.05,23.9257827346567,20.1391078761403
GB,2012,2013-04-01,22.9473384154428,23.7729975958808,-5.93333333333333,25.5832156594368,21.7535760226174
GB,2012,2013-05-01,22.1946111427155,23.0202703231535,-5.81666666666667,29.7440834056851,25.8048625621208
GB,2012,2013-06-01,20.7046111427155,21.5302703231535,-5.7,37.7404226208731,33.5859189198069
GB,2012,2013-07-01,20.6391565972609,21.4648157776989,-5.35,39.9223688264178,35.7094734160754
GB,2012,2013-08-01,21.5527929608973,22.3784521413353,-5.8003367003367,32.9638334939738,28.9384829800198
GB,2012,2013-09-01,21.9491565972609,22.7748157776989,-5.98947811447811,30.0722497181051,26.1236086433412
GB,2012,2013-10-01,21.6791565972609,22.5048157776989,-6.26268237934905,30.0194886656103,26.0711835154269
GB,2012,2013-11-01,22.3482475063519,23.1739066867898,-6.80909090909091,24.1688602284443,20.3729736099177
GB,2012,2013-12-01,24.8727929608973,25.6984521413353,-7.06127946127946,11.7536578672203,8.27478651573796
GB,2013,2014-01-01,22.6777929608973,23.5034521413353,-5.91221532091097,26.9588082437855,23.0930413563974
GB,2012,2014-01-01,22.6777929608973,23.5034521413353,-5.91221532091097,26.9588082437855,23.0930413563974
GB,2013,2014-02-01,22.3968838699882,23.2225430504262,-6.36314699792961,26.0926956332177,22.2480247617364
GB,2012,2014-02-01,22.3968838699882,23.2225430504262,-6.36314699792961,26.0926956332177,22.2480247617364
GB,2013,2014-03-01,21.7396111427155,22.5652703231535,-6.05,30.7881719148461,26.8201822721711
GB,2012,2014-03-01,21.7396111427155,22.5652703231535,-6.05,30.7881719148461,26.8201822721711
GB,2013,2014-04-01,21.4405202336246,22.2661794140626,-5.93333333333333,32.8433586718205,28.8207190530354
GB,2012,2014-04-01,21.4405202336246,22.2661794140626,-5.93333333333333,32.8433586718205,28.8207190530354
GB,2013,2014-05-01,21.3068838699882,22.1325430504262,-5.81666666666667,34.1006082514829,30.0445403115698
GB,2012,2014-05-01,21.3068838699882,22.1325430504262,-5.81666666666667,34.1006082514829,30.0445403115698
GB,2013,2014-06-01,21.53506568817,22.360724868608,-5.7,33.5621238481235,29.5210577863616
GB,2012,2014-06-01,21.53506568817,22.360724868608,-5.7,33.5621238481235,29.5210577863616
GB,2013,2014-07-01,21.73006568817,22.555724868608,-5.35,34.3807123294297,30.3189546111177
GB,2012,2014-07-01,21.73006568817,22.555724868608,-5.35,34.3807123294297,30.3189546111177
GB,2013,2014-08-01,21.7846111427155,22.6102703231535,-5.8003367003367,31.8225248479681,27.8278328223605
GB,2012,2014-08-01,21.7846111427155,22.6102703231535,-5.8003367003367,31.8225248479681,27.8278328223605
GB,2013,2014-09-01,22.20006568817,23.025724868608,-5.98947811447811,28.8609834303415,24.9445711360448
GB,2012,2014-09-01,22.20006568817,23.025724868608,-5.98947811447811,28.8609834303415,24.9445711360448
GB,2013,2014-10-01,22.9127929608973,23.7384521413353,-6.26268237934905,24.1591017693871,20.3655299793755
GB,2012,2014-10-01,22.9127929608973,23.7384521413353,-6.26268237934905,24.1591017693871,20.3655299793755
GB,2013,2014-11-01,23.7709747790791,24.5966339595171,-6.80909090909091,17.6896964641318,14.0614201889919
GB,2012,2014-11-01,23.7709747790791,24.5966339595171,-6.80909090909091,17.6896964641318,14.0614201889919
GB,2013,2014-12-01,24.5127929608973,25.3384521413353,-7.06127946127946,13.2984689702725,9.78078175571346
GB,2012,2014-12-01,24.5127929608973,25.3384521413353,-7.06127946127946,13.2984689702725,9.78078175571346
GB,2013,2015-01-01,22.5977929608973,23.4234521413353,-5.91221532091097,27.338907801356,23.4631064922507
GB,2012,2015-01-01,22.5977929608973,23.4234521413353,-5.91221532091097,27.338907801356,23.4631064922507
GB,2013,2015-02-01,22.2987020518064,23.1243612322444,-6.36314699792961,26.5567560506079,22.6998628055723
GB,2012,2015-02-01,22.2987020518064,23.1243612322444,-6.36314699792961,26.5567560506079,22.6998628055723
GB,2013,2015-03-01,22.0937020518064,22.9193612322444,-6.05,29.0732888728265,25.1510014645593
GB,2012,2015-03-01,22.0937020518064,22.9193612322444,-6.05,29.0732888728265,25.1510014645593
GB,2013,2015-04-01,22.0141565972609,22.8398157776989,-5.93333333333333,30.0369801522511,26.0894993299839
GB,2012,2015-04-01,22.0141565972609,22.8398157776989,-5.93333333333333,30.0369801522511,26.0894993299839
GB,2013,2015-05-01,21.8982475063519,22.7239066867898,-5.81666666666667,31.1842673554339,27.2066056636699
GB,2012,2015-05-01,21.8982475063519,22.7239066867898,-5.81666666666667,31.1842673554339,27.2066056636699
GB,2013,2015-06-01,21.8514293245337,22.6770885049717,-5.7,32.0006550258644,28.0015837297979
GB,2012,2015-06-01,21.8514293245337,22.6770885049717,-5.7,32.0006550258644,28.0015837297979
GB,2013,2015-07-01,21.9091565972609,22.7348157776989,-5.35,33.4902020781263,29.4524770836409
GB,2012,2015-07-01,21.9091565972609,22.7348157776989,-5.35,33.4902020781263,29.4524770836409
GB,2013,2015-08-01,22.0691565972609,22.8948157776989,-5.8003367003367,30.4335550048179,26.4760181718739
GB,2012,2015-08-01,22.0691565972609,22.8948157776989,-5.8003367003367,30.4335550048179,26.4760181718739
