area,Sal_PSU,WT_C,d18O,Sdd18O
Baltic,9.4,15.1,-5.94,0.212
DZB,6.44449152542373,10.5008695652174,-4.77351190476191,0.185619047619048
GB,7.8,14.6,-5.7,0.0555555555555556
NRB,8.48571428571429,15.1571428571429,-4.37142857142857,0.0628571428571429
P,3.61428571428571,14.8428571428571,-5.91428571428572,0.0428571428571429
S,8.13333333333333,10.6666666666667,-5.76666666666667,0.0333333333333333
SH,2.73333333333333,16.7333333333333,-6.46666666666667,0.0233333333333333
Tributary,1.09354838709677,10.5807692307692,-6.46666666666667,0.08
WRB,9.35566666666667,10.0011363636364,-5.2330303030303,0.121212121212121
