ID,TL_mm,weight,sex,area,capt_date,age,cohort,year,inc_um,rad_um,core,OH,d18O,Sr,sims_dist
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,1,0.6592,659.2,229.3,1.1962890280997,-1.51501072273318,-1.58050245309363,0.2913022485
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,1,0.6592,659.2,229.3,1.46992318019906,-1.5436227951892,-1.59497987453175,0.3275362575
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,1,0.6592,659.2,229.3,1.29206098133448,-1.41200726189152,-1.59782040445711,0.3642471688
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,1,0.6592,659.2,229.3,1.41519634977918,-1.28611414308504,-1.60593899557652,0.4004809608
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,1,0.6592,659.2,229.3,1.08683536725996,-0.645203720070228,-1.53480729026176,0.43671501
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,1,0.6592,659.2,229.3,1.08683536725996,-0.982826175051244,-1.43817431843742,0.4734258126
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,1,0.6592,659.2,229.3,1.10051707486493,-0.954214102595225,-1.48405632610101,0.5096596904
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,1,0.6592,659.2,229.3,1.10051707486493,-0.513588186772545,-1.58879079213205,0.5463707532
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,1,0.6592,659.2,229.3,1.18260732049473,-0.462086456351712,-1.58427476476148,0.5826044971
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,1,0.6592,659.2,229.3,1.2373341509146,-0.353360581018842,-1.53552413938737,0.618838428
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,1,0.6592,659.2,229.3,0.867928045580476,0.218880868101522,-1.58614565549477,0.6555493879
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,2,0.2078,807,229.3,1.03210853684009,-0.67953820701745,-1.6758922351226,0.691783203
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,2,0.2078,807,229.3,0.867928045580476,-1.44634174883874,-1.63537743684075,0.7284943377
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,2,0.2078,807,229.3,0.375386571801636,-1.08582963589291,-1.54971091330949,0.7647280562
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,2,0.2078,807,229.3,0.512203647851314,-0.713872693964672,-1.63355905805363,0.8000831207
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,3,0.4448,1191.8,229.3,0.649020723900991,-0.994271004033651,-1.66248337072862,0.8359162637
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,3,0.4448,1191.8,229.3,0.402749987011572,-0.971381346068836,-1.68266505497041,0.8712714847
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,3,0.4448,1191.8,229.3,0.170160957727121,-1.37195036045309,-1.6587867739599,0.9071058373
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,3,0.4448,1191.8,229.3,0.019662174072475,-1.32617104452346,-1.61861269272413,0.9424611398
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,3,0.4448,1191.8,229.3,0.101752419702282,-1.10871929385772,-1.61306718696702,0.9778164449
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,3,0.4448,1191.8,229.3,0.621657308691056,-0.570812331684581,-1.67419475593247,1.013651814
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,3,0.4448,1191.8,229.3,0.484840232641378,-0.547922673719766,-1.6466772749316,1.04900715
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,3,0.4448,1191.8,229.3,0.484840232641378,-0.547922673719766,-1.48968243158945,1.084843307
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,3,0.4448,1191.8,229.3,0.375386571801636,-0.347638166527639,-1.51765664440119,1.120198643
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,3,0.4448,1191.8,229.3,0.197524372937056,-0.170243317300326,-1.55346979168879,1.15555398
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,3,0.4448,1191.8,229.3,0.156479250122153,-0.210300218738751,-1.51379274212955,1.191390784
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,4,0.3598,1491.6,229.3,0.29329632617183,-0.496420943298933,-1.51819519715144,1.226746103
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,4,0.3598,1491.6,229.3,0.224887788146991,-0.628036476596618,-1.54008657266387,1.262583463
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,4,0.3598,1491.6,229.3,0.306978033776797,-0.530755430246155,-1.51935290238327,1.29793875
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,4,0.3598,1491.6,229.3,0.0607072968873785,-0.530755430246155,-1.53267383979762,1.333294041
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,4,0.3598,1491.6,229.3,-0.199245147607008,-0.0901295144234748,-1.49885492525641,1.369131842
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,4,0.3598,1491.6,229.3,0.0470255892824104,-0.30185885059801,-1.40223905034478,1.404487095
BH-00356,815,3000,f,Tributary,2019-07-09,7,2012,4,0.3598,1491.6,229.3,0.238569495751959,0.447777447749668,-1.32329527713127,1.44032531
