fishID,TL_mm,weight,sex,area,capt_date,age,cohort,year,OH,d18O_oto,d18O_oto_cor,diff,sims_dist
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,1,0.0441,-8.1453748,-7.48485963367719,-0.660515166322806,473.4258126
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,1,0.0442,-8.0968743,-7.43486136686014,-0.662012933139865,509.6596904
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,1,0.0442,-7.3499666,-6.68795366686014,-0.662012933139865,546.3707532
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,1,0.0448,-7.2626657,-6.59166616595778,-0.670999534042216,582.6044971
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,1,0.0452,-7.0783638,-6.40137319868955,-0.67699060131045,618.838428
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,1,0.0425,-6.1083538,-5.47180290275013,-0.636550897249871,655.5493879
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,2,0.0437,-7.6312695,-6.97674540094543,-0.654524099054573,691.783203
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,2,0.0425,-8.9310829,-8.29453200275013,-0.636550897249871,728.4943377
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,2,0.0389,-8.3199766,-7.73734530816424,-0.582631291835764,764.7280562
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,2,0.0399,-7.6894701,-7.09186113999365,-0.597608960006348,800.0831207
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,3,0.0409,-8.164775,-7.55218837182307,-0.612586628176934,835.9162637
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,3,0.0391,-8.1259746,-7.54034777453012,-0.58562682546988,871.2714847
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,3,0.0374,-8.8049816,-8.24481681042011,-0.560164789579886,907.1058373
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,3,0.0363,-8.7273808,-8.18369144540776,-0.543689354592242,942.4611398
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,3,0.0369,-8.358777,-7.80610104450541,-0.552675955494594,977.8164449
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,3,0.0407,-7.4469676,-6.83737650545718,-0.609591094542817,1013.651814
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,3,0.0397,-7.4081672,-6.81355377362777,-0.594613426372232,1049.00715
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,3,0.0397,-7.4081672,-6.81355377362777,-0.594613426372232,1084.843307
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,3,0.0389,-7.0686637,-6.48603240816424,-0.582631291835764,1120.198643
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,3,0.0376,-6.7679606,-6.204800276786,-0.563160323214003,1155.55398
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,3,0.0373,-6.8358613,-6.27719427723717,-0.558667022762827,1191.390784
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,4,0.0383,-7.3208663,-6.74722160906659,-0.573644690933413,1226.746103
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,4,0.0378,-7.5439686,-6.97781274315188,-0.56615585684812,1262.583463
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,4,0.0384,-7.3790669,-6.80392444224953,-0.575142457750471,1297.93875
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,4,0.0366,-7.3790669,-6.83088424495658,-0.548182655043418,1333.294041
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,4,0.0347,-6.6321592,-6.1124341144807,-0.519725085519306,1369.131842
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,4,0.0365,-6.9910629,-6.44437801177364,-0.546684888226359,1404.487095
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,4,0.0379,-5.7203498,-5.15269617633482,-0.567653623665178,1440.32531
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,4,0.0367,-5.3711462,-4.82146577813952,-0.549680421860476,1475.680521
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,5,0.0383,-7.6312695,-7.05762480906659,-0.573644690933413,1511.035737
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,5,0.0379,-7.8640719,-7.29641827633482,-0.567653623665178,1546.874268
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,5,0.0372,-7.6215694,-7.06440014405423,-0.557169255945769,1582.22944
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,5,0.034,-7.1268643,-6.6176235822001,-0.509240717799896,1618.068293
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,5,0.0356,-6.1762545,-5.64304951312717,-0.533204986872833,1653.423418
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,5,0.0383,-5.4196467,-4.84600200906659,-0.573644690933413,1688.778553
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,6,0.0387,-6.7582605,-6.17862474179835,-0.579635758201647,1724.617639
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,6,0.0394,-7.7476707,-7.15755057407894,-0.590120125921056,1759.972727
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,6,0.0396,-7.8931722,-7.30005654044483,-0.593115659555173,1795.812073
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,6,0.0373,-7.097764,-6.53909697723717,-0.558667022762827,1831.167114
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,6,0.0359,-6.6321592,-6.09446091267599,-0.537698287324008,1866.522167
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,6,0.037,-5.0316427,-4.47746897768835,-0.554173722311652,1902.36169
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,7,0.0369,-7.4081672,-6.85549124450541,-0.552675955494594,1937.716698
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,7,0.0382,-8.64978,-8.07763307588365,-0.572146924116353,1973.071717
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,7,0.0367,-8.0192735,-7.46959307813953,-0.549680421860476,2008.911397
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,7,0.038,-6.2053548,-5.63620340951776,-0.569151390482237,2044.266372
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,8,0.0394,-6.5254581,-5.93533797407894,-0.590120125921056,2080.106247
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,8,0.038,-7.8446717,-7.27552030951776,-0.569151390482237,2115.461179
BH-00356,815,3000,f,freshwater,2019-07-09,7,2012,8,0.0395,-7.9222725,-7.33065460726189,-0.591617892738115,2151.301234
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0463,-8.0774741,-7.38400806370191,-0.693466036298094,0
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0427,-8.1744751,-7.53492866911601,-0.639546430883987,35.73513677
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0428,-7.9416727,-7.30062850229895,-0.641044197701046,69.26037828
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0427,-7.8349716,-7.19542516911601,-0.639546430883987,104.995238
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0443,-8.8146817,-8.15117100004308,-0.663510699956923,138.5207566
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0434,-7.7670709,-7.1170401013966,-0.650030798603397,174.2555595
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0422,-7.8058713,-7.17381370320131,-0.632057596798695,208.0865205
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0403,-7.3014661,-6.69786607272542,-0.603600027274583,243.5159132
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0419,-7.7088703,-7.08130600365248,-0.627564296347519,277.3463539
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0438,-8.2520759,-7.59605403412837,-0.656021865871631,312.7762779
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0418,-8.0192735,-7.39320697046954,-0.62606652953046,346.606405
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0411,-7.8155714,-7.19998923818895,-0.615582161811051,382.0366475
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,1,0.0435,-7.4566677,-6.80513913457954,-0.651528565420455,415.8665651
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,2,0.043,-7.7864711,-7.14243136866484,-0.644039731335163,451.6015943
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,2,0.0435,-9.3384871,-8.68695853457954,-0.651528565420456,485.1267876
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,2,0.0438,-8.5139786,-7.85795673412837,-0.656021865871631,520.8617859
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,2,0.0455,-8.6400799,-7.95859599823837,-0.681483901761625,554.3870489
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,2,0.0444,-8.1259746,-7.46096613322602,-0.665008466773982,590.1220213
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,2,0.04,-5.9046517,-5.30554497317659,-0.599106726823408,624.5998719
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,3,0.0452,-7.9416727,-7.26468209868955,-0.67699060131045,659.3822867
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,3,0.042,-8.067774,-7.43871193683542,-0.629062063164578,694.164966
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,3,0.0408,-8.3878773,-7.77678843864012,-0.611088861359876,728.6425736
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,3,0.0409,-8.5624791,-7.94989247182307,-0.612586628176934,763.4251764
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,3,0.0382,-8.4072775,-7.83513057588365,-0.572146924116354,797.9028763
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,3,0.043,-5.2838453,-4.63980556866484,-0.644039731335163,832.6854148
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,4,0.0429,-8.5721792,-7.9296372354819,-0.642541964518104,867.1631911
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,4,0.0424,-8.9504831,-8.31542996956719,-0.635053130432812,901.9456746
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,4,0.0434,-9.3093868,-8.6593560013966,-0.650030798603398,936.4235153
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,4,0.0419,-8.9795834,-8.35201910365248,-0.627564296347519,971.2059514
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,4,0.0384,-8.9601832,-8.38504074224953,-0.575142457750472,1005.988569
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,4,0.0385,-7.2141652,-6.63752497543247,-0.576640224567529,1040.466242
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,4,0.0377,-5.7882505,-5.22359240996894,-0.564658090031061,1075.248808
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,5,0.0423,-8.5624791,-7.92892373638425,-0.633555363615753,1109.726543
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,5,0.0399,-8.9795834,-8.38197443999365,-0.597608960006349,1144.509065
BH-00391,903,5220,f,freshwater,2019-07-11,9,2010,5,0.0385,-8.164775,-7.58813477543247,-0.576640224567529,1178.986853
